City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bilibino,68.0546,166.4372,242.73,98,{'all': 100},1.16,RU,1736631366
1,ribeira grande,38.5167,-28.7,293.37,83,{'all': 75},13.89,PT,1736631368
2,albany,42.6001,-73.9662,270.73,74,{'all': 99},5.36,US,1736631346
3,christchurch,-43.5333,172.6333,288.1,70,{'all': 100},7.2,NZ,1736631370
4,bage,-31.3314,-54.1069,300.03,44,{'all': 0},8.23,BR,1736631371
5,riyadh,24.6877,46.7219,288.22,42,{'all': 61},3.74,SA,1736631372
6,wailua homesteads,22.0669,-159.378,298.78,77,{'all': 0},6.17,US,1736631373
7,bethel,41.3712,-73.414,273.12,73,{'all': 89},2.24,US,1736631374
8,kodiak,57.79,-152.4072,278.88,70,{'all': 0},4.63,US,1736631192
9,carnarvon,-24.8667,113.6333,297.95,65,{'all': 31},6.72,AU,1736631376
10,port-aux-francais,-49.35,70.2167,278.84,76,{'all': 16},16.15,TF,1736631378
11,gardnerville ranchos,38.8882,-119.7413,280.5,32,{'all': 0},1.34,US,1736631379
12,puerto natales,-51.7236,-72.4875,290.4,67,{'all': 100},1.03,CL,1736631380
13,ushuaia,-54.8,-68.3,287.96,51,{'all': 75},3.09,AR,1736631381
14,axim,4.8699,-2.2405,300.12,82,{'all': 5},3.39,GH,1736631382
15,howrah,22.5892,88.3103,288.15,88,{'all': 20},0.0,IN,1736631383
16,lihue,21.9789,-159.3672,299.12,73,{'all': 0},6.17,US,1736631384
17,waitangi,-43.9535,-176.5597,284.72,98,{'all': 100},3.58,NZ,1736631385
18,obock,12.25,43.0833,292.47,78,{'all': 57},7.47,DJ,1736631386
19,qaqortoq,60.7167,-46.0333,276.43,62,{'all': 100},6.94,GL,1736631387
20,blackmans bay,-43.0167,147.3167,294.55,73,{'all': 100},2.98,AU,1736631389
21,kavaratti,10.5669,72.642,300.46,73,{'all': 100},3.74,IN,1736631390
22,alofi,-19.0595,-169.9187,300.09,74,{'all': 75},6.17,NU,1736631167
23,iqaluit,63.7506,-68.5145,262.0,73,{'all': 75},2.57,CA,1736631392
24,grytviken,-54.2811,-36.5092,277.28,74,{'all': 50},1.05,GS,1736631393
25,remire-montjoly,4.9167,-52.2667,301.17,78,{'all': 75},5.14,GF,1736631394
26,bayanaul,50.7889,75.6956,257.61,80,{'all': 35},2.74,KZ,1736631395
27,papatowai,-46.5619,169.4708,285.89,59,{'all': 87},2.5,NZ,1736631396
28,pyt-yakh,60.7499,72.8582,256.66,97,{'all': 34},2.8,RU,1736631397
29,yeppoon,-23.1333,150.7333,299.05,84,{'all': 8},2.2,AU,1736631398
30,faya-largeau,17.9257,19.1043,289.79,28,{'all': 16},8.31,TD,1736631400
31,saipan,15.1355,145.701,301.54,78,{'all': 20},8.23,MP,1736631401
